Provincia,Grupo etario,Habitantes con cobertura en 2010,Habitantes sin cobertura en 2010,Habitantes con cobertura en 2022,Habitantes sin cobertura en 2022
La Pampa,55-74,42197.0,8271.0,52965.0,8617.0
La Pampa,75+,14882.0,339.0,18925.0,181.0
La Rioja,0-14,52140.0,41278.0,43623.0,41094.0
La Rioja,15-34,63423.0,55879.0,59914.0,72222.0
La Rioja,35-54,50673.0,22840.0,62418.0,36294.0
La Rioja,55-74,31429.0,6667.0,45254.0,8768.0
La Rioja,75+,9374.0,626.0,12380.0,486.0
Mendoza,0-14,252894.0,193189.0,252583.0,216881.0
Mendoza,15-34,315090.0,258806.0,309075.0,308280.0
Mendoza,35-54,248413.0,135594.0,328752.0,185072.0
Mendoza,55-74,205960.0,51842.0,270388.0,57542.0
Mendoza,75+,74359.0,2223.0,99607.0,2593.0
Misiones,0-14,182233.0,176390.0,155196.0,185765.0
Misiones,15-34,187124.0,183131.0,180884.0,240199.0
Misiones,35-54,141921.0,88067.0,175515.0,126183.0
Misiones,55-74,86648.0,29321.0,131859.0,39994.0
Misiones,75+,24004.0,2470.0,35991.0,1761.0
Neuquén,0-14,92015.0,54053.0,105193.0,54441.0
Neuquén,15-34,112721.0,77870.0,130863.0,91593.0
Neuquén,35-54,93716.0,41743.0,140279.0,57192.0
Neuquén,55-74,49387.0,15405.0,85731.0,19111.0
Neuquén,75+,12665.0,1116.0,23262.0,913.0
Río Negro,0-14,104633.0,61345.0,102102.0,62700.0
Río Negro,15-34,122787.0,89274.0,120176.0,107104.0
Río Negro,35-54,103814.0,49251.0,136704.0,66804.0
Río Negro,55-74,68664.0,18203.0,98286.0,21028.0
Río Negro,75+,20097.0,1468.0,31657.0,1136.0
Salta,0-14,175771.0,201654.0,163833.0,199030.0
Salta,15-34,184458.0,229790.0,193359.0,282652.0
Salta,35-54,143828.0,108675.0,197612.0,153589.0
Salta,55-74,100793.0,34510.0,145427.0,48143.0
Salta,75+,31260.0,2551.0,47388.0,3192.0
San Juan,0-14,96659.0,98713.0,97265.0,105165.0
San Juan,15-34,103621.0,117285.0,110042.0,149705.0
San Juan,35-54,88598.0,58942.0,116483.0,84782.0
San Juan,55-74,71798.0,21425.0,96472.0,25060.0
San Juan,75+,21961.0,1254.0,33391.0,1080.0
San Luis,0-14,63909.0,56799.0,70794.0,49746.0
San Luis,15-34,73539.0,65257.0,85175.0,88679.0
San Luis,35-54,62811.0,36124.0,94724.0,45943.0
San Luis,55-74,46613.0,11893.0,68273.0,14990.0
San Luis,75+,14106.0,674.0,21762.0,462.0
Santa Cruz,0-14,65534.0,10901.0,70684.0,11237.0
Santa Cruz,15-34,75626.0,21571.0,79499.0,28376.0
Santa Cruz,35-54,56204.0,9322.0,80442.0,13654.0
Santa Cruz,55-74,23516.0,3223.0,39463.0,3437.0
Santa Cruz,75+,4705.0,246.0,8664.0,221.0
Santa Fe,0-14,441021.0,317838.0,452587.0,293359.0
Santa Fe,15-34,643803.0,407470.0,620254.0,436292.0
Santa Fe,35-54,516623.0,213562.0,665152.0,266891.0
Santa Fe,55-74,421296.0,70319.0,514108.0,81267.0
Santa Fe,75+,162394.0,3049.0,185946.0,3203.0
Santiago del Estero,0-14,98307.0,178256.0,88477.0,180558.0
Santiago del Estero,15-34,100239.0,189953.0,106020.0,249337.0
Santiago del Estero,35-54,86627.0,89747.0,127993.0,128530.0
Santiago del Estero,55-74,75340.0,28001.0,107298.0,33021.0
Santiago del Estero,75+,25164.0,2020.0,35200.0,1318.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",0-14,28315.0,6492.0,38076.0,4473.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",15-34,33044.0,11938.0,46725.0,14241.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",35-54,27010.0,6313.0,44525.0,7440.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",55-74,9732.0,1846.0,23637.0,2110.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",75+,1581.0,49.0,3622.0,109.0
Tucumán,0-14,232449.0,175418.0,235890.0,165880.0
Tucumán,15-34,281901.0,214436.0,315942.0,248909.0
Tucumán,35-54,206686.0,102786.0,293030.0,138948.0
Tucumán,55-74,152527.0,33596.0,222595.0,39703.0
Tucumán,75+,46546.0,2289.0,64483.0,1957.0
